variable_id,mz,rt,condition,polarity,mean_intensity
M124T594_POS,124.2091014,594.4197083,-0.145828672,positive,1969375.741
M125T594_POS,124.9998188,594.1160278,-0.042069682,positive,24637887.32
M125T630_POS,124.9998319,630.0600891,0.027841702,positive,23830767.47
M125T772_POS,124.9998006,772.2414856,0.009994704,positive,21770275.16
M125T745_POS,124.9998326,745.0610962,0.044354695,positive,21845545.97
M125T822_POS,125.0098577,822.3323975,-0.014649407,positive,14428637.14
M125T574_POS,124.9998733,573.5155334,-0.181104958,positive,20044660.05
M125T836_POS,125.0388863,835.666687,0.022704105,positive,307533555.9
M125T60_POS,125.0362525,59.55447578,0.007926369,positive,8910288.987
M125T84_POS,125.0709722,83.88117218,-0.019010187,positive,44059363.12
M125T37_POS,125.0961366,37.04843712,0.000551481,positive,7959044.111
M126T36_POS,126.0548922,36.43408966,-0.06830015,positive,49007321.88
M126T175_POS,126.0914101,174.6554947,-0.203327321,positive,4612066.236
M127T594_1_POS,126.7868391,594.3981323,0.0462344,positive,16015093.6
M127T827_POS,126.9814408,827.2084351,0.064546595,positive,16857699.98
M127T832_POS,127.0345358,832.4075317,0.072865693,positive,446185532.4
M127T586_POS,127.0305927,586.0317993,-0.149248191,positive,979991.9476
M127T46_POS,127.0390938,45.85127258,-0.036422133,positive,18169749.81
M127T38_POS,127.075358,37.63844681,0.017688158,positive,5557467.05
M127T36_POS,127.1117039,35.92232513,0.01897301,positive,5969208.461
M127T603_POS,127.2733921,603.1268921,-0.011010054,positive,3279122.294
M128T215_POS,128.1070903,215.0982285,-0.029478301,positive,4982704.865
M129T828_POS,128.9796703,827.545166,0.008325262,positive,6823850.3
M129T832_POS,129.0301913,832.1702271,0.041593057,positive,901869943.3
M129T36_POS,129.0657846,35.98425674,0.062991723,positive,18891506.37
M129T37_POS,129.0909643,36.83863258,0.06033765,positive,7804732.012
M129T468_POS,129.1274434,468.0014038,0.036446156,positive,535708.5219
M130T34_POS,130.0499587,33.86300278,-0.001847895,positive,15349332.32
M130T175_POS,130.0650046,174.9927673,-0.06493751,positive,16353689.93
M130T208_POS,130.0652673,208.4370651,-0.027067732,positive,121251544.8
M130T278_POS,130.0652575,278.2715149,-0.080443972,positive,89652760.28
M130T45_POS,130.0653403,44.63273811,-0.176381606,positive,22229034.09
M130T318_POS,130.0652892,318.0744019,0.258149407,positive,6862130.122
M130T582_POS,130.2090908,581.5158691,-0.260162322,positive,538499.9119
M131T604_POS,130.7129483,603.9812927,-0.21291502,positive,623146.0031
M131T824_1_POS,130.9526637,823.8416748,0.02511062,positive,8835755.459
M131T868_POS,130.9817102,868.4092102,-0.038792856,positive,9104458.29
M131T823_POS,131.0013982,822.9849243,0.022725267,positive,12662506256
M131T824_2_POS,131.0502079,823.7861938,0.048340148,positive,8772290.928
M131T33_POS,131.0491751,33.11595726,-0.125686057,positive,49985588.43
M131T263_POS,131.0495351,262.8208313,0.188596495,positive,6315893.145
M131T208_POS,131.0686596,208.4396515,0.030858936,positive,10967548.68
M131T279_POS,131.0689285,278.5362244,-0.032361573,positive,7867904.332
M131T41_POS,131.0813919,40.81763077,0.056960706,positive,14909948.7
M132T33_1_POS,131.9613358,32.66122055,-0.007889059,positive,14642110.17
M132T823_POS,132.0047634,823.2639771,0.057938347,positive,342997315.9
M132T278_POS,132.0444462,278.4978943,-0.041902333,positive,2469138.212
M132T33_2_POS,132.0652736,33.38282394,-0.042449213,positive,16220050.17
M132T45_POS,132.0806739,44.97066116,-0.239731772,positive,40978980.35
M132T174_POS,132.0808087,174.0350189,-0.093771733,positive,5860240.745
M132T34_POS,132.1019126,33.63505554,-0.062142189,positive,14101459.04
M133T581_POS,132.788831,581.4047852,-0.210997238,positive,2164337.053
